State Exports by NAICS Commodities,,,,
Current date: 03/15/2026 5:00 PM (Eastern Daylight Time),,,,
Measures: Total Exports Value ($US),,,,
State,Commodity,Country,Time,Total Exports Value ($US)
All States,All Commodities,Democratic Republic of Congo,2025,"219,050,271"
All States,All Commodities,Democratic Republic of Congo,2026 through January,"12,561,803"
All States,All Commodities,Denmark,2020,"2,941,610,966"
All States,All Commodities,Denmark,2021,"3,540,151,355"
All States,All Commodities,Denmark,2022,"4,595,790,840"
All States,All Commodities,Denmark,2023,"5,222,650,451"
All States,All Commodities,Denmark,2024,"5,789,814,852"
All States,All Commodities,Denmark,2025,"4,582,311,293"
All States,All Commodities,Denmark,2026 through January,"374,360,807"
All States,All Commodities,Djibouti,2020,"184,724,489"
All States,All Commodities,Djibouti,2021,"186,608,787"
All States,All Commodities,Djibouti,2022,"172,428,683"
All States,All Commodities,Djibouti,2023,"170,838,559"
All States,All Commodities,Djibouti,2024,"136,276,294"
All States,All Commodities,Djibouti,2025,"150,432,366"
All States,All Commodities,Djibouti,2026 through January,"8,800,590"
All States,All Commodities,Dominica,2020,"100,768,195"
All States,All Commodities,Dominica,2021,"371,262,054"
All States,All Commodities,Dominica,2022,"146,981,770"
All States,All Commodities,Dominica,2023,"77,067,814"
All States,All Commodities,Dominica,2024,"57,192,127"
All States,All Commodities,Dominica,2025,"66,204,832"
All States,All Commodities,Dominica,2026 through January,"4,190,929"
All States,All Commodities,Dominican Republic,2020,"7,500,643,579"
All States,All Commodities,Dominican Republic,2021,"10,740,035,836"
All States,All Commodities,Dominican Republic,2022,"13,955,785,530"
All States,All Commodities,Dominican Republic,2023,"12,972,589,289"
All States,All Commodities,Dominican Republic,2024,"13,015,471,842"
All States,All Commodities,Dominican Republic,2025,"12,935,014,751"
All States,All Commodities,Dominican Republic,2026 through January,"1,058,002,107"
All States,All Commodities,Ecuador,2020,"4,134,176,974"
All States,All Commodities,Ecuador,2021,"4,959,822,796"
All States,All Commodities,Ecuador,2022,"7,883,184,978"
All States,All Commodities,Ecuador,2023,"8,003,134,624"
All States,All Commodities,Ecuador,2024,"7,568,934,729"
All States,All Commodities,Ecuador,2025,"8,552,636,240"
All States,All Commodities,Ecuador,2026 through January,"663,841,253"
All States,All Commodities,Egypt,2020,"4,705,264,533"
All States,All Commodities,Egypt,2021,"5,851,961,978"
All States,All Commodities,Egypt,2022,"6,316,098,626"
All States,All Commodities,Egypt,2023,"4,485,185,089"
All States,All Commodities,Egypt,2024,"6,295,677,027"
All States,All Commodities,Egypt,2025,"9,477,753,037"
All States,All Commodities,Egypt,2026 through January,"748,258,690"
All States,All Commodities,El Salvador,2020,"2,584,340,214"
All States,All Commodities,El Salvador,2021,"4,131,229,600"
All States,All Commodities,El Salvador,2022,"4,868,279,563"
All States,All Commodities,El Salvador,2023,"4,298,388,967"
All States,All Commodities,El Salvador,2024,"4,542,903,686"
All States,All Commodities,El Salvador,2025,"4,598,757,254"
All States,All Commodities,El Salvador,2026 through January,"317,517,101"
All States,All Commodities,Equatorial Guinea,2020,"93,690,028"
All States,All Commodities,Equatorial Guinea,2021,"51,464,496"
All States,All Commodities,Equatorial Guinea,2022,"71,299,304"
All States,All Commodities,Equatorial Guinea,2023,"105,256,346"
